TITLE = "DETCHEM_PBR V2.8"
VARIABLES =
              z,          T_gas,      T_surface,              P,            Tau,              u,            rho,           mdot,           vdot,           fdot,           Meff,          Power,      overall_U,           h_fs,        k_fsCH4,         k_fsO2,         k_fsH2,        k_fsH2O,         k_fsCO,        k_fsCO2,           k_rs,           k_rf,            k_r,            h_w,           XCH4,            XO2,            XH2,           XH2O,            XCO,           XCO2
  1.287932E-002,  3.311551E+002,  3.311551E+002,  1.012434E+005,  2.449156E-003,  5.523702E+000,  1.104714E+000,  3.067687E-003,  2.776906E-003,  1.021086E-001,  3.004338E-002,  1.047160E+001,  1.807780E+002,  3.717577E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  8.789943E-002,  1.918715E+000,  2.006615E+000,  2.566238E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  1.680941E-002,  3.404741E+002,  3.404741E+002,  1.012168E+005,  3.150719E-003,  5.680632E+000,  1.074196E+000,  3.067687E-003,  2.855799E-003,  1.021086E-001,  3.004338E-002,  3.633739E+001,  1.839138E+002,  3.799828E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  9.033168E-002,  1.942594E+000,  2.032926E+000,  2.615582E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  1.889952E-002,  3.453928E+002,  3.453928E+002,  1.012024E+005,  3.515994E-003,  5.763519E+000,  1.058747E+000,  3.067687E-003,  2.897468E-003,  1.021086E-001,  3.004338E-002,  1.934590E+001,  1.855551E+002,  3.843050E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  9.161312E-002,  1.955048E+000,  2.046661E+000,  2.641456E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  2.062273E-002,  3.494284E+002,  3.494284E+002,  1.011904E+005,  3.813227E-003,  5.831554E+000,  1.046395E+000,  3.067687E-003,  2.931671E-003,  1.021086E-001,  3.004338E-002,  1.596177E+001,  1.868937E+002,  3.878374E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  9.266144E-002,  1.965191E+000,  2.057853E+000,  2.662576E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  2.539850E-002,  3.605180E+002,  3.605180E+002,  1.011563E+005,  4.619292E-003,  6.018654E+000,  1.013866E+000,  3.067687E-003,  3.025731E-003,  1.021086E-001,  3.004338E-002,  4.429938E+001,  1.905485E+002,  3.975259E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  9.554598E-002,  1.992730E+000,  2.088276E+000,  2.720370E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  2.989263E-002,  3.708267E+002,  3.708267E+002,  1.011232E+005,  5.355376E-003,  6.192778E+000,  9.853591E-001,  3.067687E-003,  3.113267E-003,  1.021086E-001,  3.004338E-002,  4.170766E+001,  1.939059E+002,  4.064717E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  9.821583E-002,  2.017910E+000,  2.116126E+000,  2.773590E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  3.221019E-002,  3.760941E+002,  3.760941E+002,  1.011058E+005,  5.726944E-003,  6.281825E+000,  9.713914E-001,  3.067687E-003,  3.158034E-003,  1.021086E-001,  3.004338E-002,  2.150658E+001,  1.956029E+002,  4.110048E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  9.956870E-002,  2.030628E+000,  2.130197E+000,  2.800519E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  3.765551E-002,  3.883373E+002,  3.883373E+002,  1.010639E+005,  6.579762E-003,  6.489011E+000,  9.403760E-001,  3.067687E-003,  3.262191E-003,  1.021086E-001,  3.004338E-002,  5.048071E+001,  1.994990E+002,  4.214375E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  1.026802E-001,  2.059820E+000,  2.162500E+000,  2.862409E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  4.021037E-002,  3.940170E+002,  3.940170E+002,  1.010437E+005,  6.970590E-003,  6.585230E+000,  9.266359E-001,  3.067687E-003,  3.310563E-003,  1.021086E-001,  3.004338E-002,  2.366521E+001,  2.012875E+002,  4.262432E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  1.041151E-001,  2.073195E+000,  2.177310E+000,  2.890859E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  4.225980E-002,  3.985430E+002,  3.985430E+002,  1.010274E+005,  7.280004E-003,  6.661952E+000,  9.159643E-001,  3.067687E-003,  3.349133E-003,  1.021086E-001,  3.004338E-002,  1.896771E+001,  2.027049E+002,  4.300603E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  1.052560E-001,  2.083780E+000,  2.189036E+000,  2.913427E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  4.754679E-002,  4.100944E+002,  4.100944E+002,  1.009843E+005,  8.062137E-003,  6.857968E+000,  8.897840E-001,  3.067687E-003,  3.447676E-003,  1.021086E-001,  3.004338E-002,  4.879444E+001,  2.062853E+002,  4.397224E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  1.081421E-001,  2.110518E+000,  2.218660E+000,  2.970478E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  5.019451E-002,  4.158118E+002,  4.158118E+002,  1.009622E+005,  8.445504E-003,  6.955098E+000,  8.773579E-001,  3.067687E-003,  3.496505E-003,  1.021086E-001,  3.004338E-002,  2.439358E+001,  2.080377E+002,  4.444609E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  1.095560E-001,  2.123609E+000,  2.233165E+000,  2.998422E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  5.238310E-002,  4.205033E+002,  4.205033E+002,  1.009437E+005,  8.758386E-003,  7.034859E+000,  8.674105E-001,  3.067687E-003,  3.536603E-003,  1.021086E-001,  3.004338E-002,  2.013120E+001,  2.094660E+002,  4.483270E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  1.107085E-001,  2.134284E+000,  2.244993E+000,  3.021206E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  5.892517E-002,  4.343418E+002,  4.343418E+002,  1.008873E+005,  9.673060E-003,  7.270437E+000,  8.393045E-001,  3.067687E-003,  3.655034E-003,  1.021086E-001,  3.004338E-002,  5.983914E+001,  2.136492E+002,  4.596984E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  1.141067E-001,  2.165437E+000,  2.279544E+000,  3.088055E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
