"arc_length","T"
0.1875,693.618
0.188,694.3
0.1885,694.982
0.189,695.664
0.1895,696.346
0.19,697.028
0.1905,697.7
0.191,698.372
0.1915,699.045
0.192,699.717
0.1925,700.389
0.193,701.053
0.1935,701.716
0.194,702.379
0.1945,703.042
0.195,703.705
0.1955,704.359
0.196,705.013
0.1965,705.667
0.197,706.321
0.1975,706.975
0.198,707.62
0.1985,708.265
0.199,708.91
0.1995,709.555
0.2,710.199
0.2005,710.836
0.201,711.472
0.2015,712.108
0.202,712.744
0.2025,713.38
0.203,714.008
0.2035,714.635
0.204,715.262
0.2045,715.89
0.205,716.517
0.2055,717.136
0.206,717.755
0.2065,718.374
0.207,718.993
0.2075,719.612
0.208,720.222
0.2085,720.833
0.209,721.443
0.2095,722.054
0.21,722.664
0.2105,723.267
0.211,723.869
0.2115,724.471
0.212,725.073
0.2125,725.676
0.213,726.27
0.2135,726.864
0.214,727.458
0.2145,728.052
0.215,728.646
0.2155,729.232
0.216,729.818
0.2165,730.404
0.217,730.991
0.2175,731.577
0.218,732.155
0.2185,732.733
0.219,733.311
0.2195,733.89
0.22,734.468
0.2205,735.038
0.221,735.609
0.2215,736.179
0.222,736.75
0.2225,737.32
0.223,737.883
0.2235,738.446
0.224,739.009
0.2245,739.572
0.225,740.135
0.2255,740.69
0.226,741.246
0.2265,741.801
0.227,742.357
0.2275,742.912
0.228,743.46
0.2285,744.008
0.229,744.556
0.2295,745.104
0.23,745.652
0.2305,746.193
0.231,746.734
0.2315,747.274
0.232,747.815
0.2325,748.356
0.233,748.89
0.2335,749.423
0.234,749.957
0.2345,750.491
0.235,751.024
0.2355,751.551
0.236,752.077
0.2365,752.604
0.237,753.131
0.2375,753.657
0.238,754.177
0.2385,754.697
0.239,755.216
0.2395,755.736
0.24,756.256
0.2405,756.769
0.241,757.281
0.2415,757.794
0.242,758.307
0.2425,758.82
0.243,759.326
0.2435,759.833
0.244,760.339
0.2445,760.845
0.245,761.351
0.2455,761.851
0.246,762.35
0.2465,762.85
0.247,763.349
0.2475,763.849
0.248,764.342
0.2485,764.835
0.249,765.328
0.2495,765.821
0.25,766.314
0.2505,766.801
0.251,767.288
0.2515,767.775
0.252,768.261
0.2525,768.748
0.253,769.228
0.2535,769.709
0.254,770.189
0.2545,770.669
0.255,771.15
0.2555,771.624
0.256,772.098
0.2565,772.572
0.257,773.047
0.2575,773.521
0.258,773.989
0.2585,774.457
0.259,774.925
0.2595,775.393
0.26,775.861
0.2605,776.323
0.261,776.785
0.2615,777.247
0.262,777.709
0.2625,778.172
0.263,778.628
0.2635,779.084
0.264,779.54
0.2645,779.996
0.265,780.452
0.2655,780.903
0.266,781.353
0.2665,781.803
0.267,782.253
0.2675,782.704
0.268,783.148
0.2685,783.593
0.269,784.037
0.2695,784.482
0.27,784.926
0.2705,785.365
0.271,785.804
0.2715,786.243
0.272,786.682
0.2725,787.121
0.273,787.554
0.2735,787.987
0.274,788.421
0.2745,788.854
0.275,789.287
0.2755,789.715
0.276,790.143
0.2765,790.571
0.277,790.999
0.2775,791.426
0.278,791.849
0.2785,792.271
0.279,792.694
0.2795,793.116
0.28,793.538
0.2805,793.955
0.281,794.372
0.2815,794.789
0.282,795.206
0.2825,795.624
0.283,796.035
0.2835,796.447
0.284,796.859
0.2845,797.271
0.285,797.682
0.2855,798.089
0.286,798.496
0.2865,798.902
0.287,799.309
0.2875,799.716
0.288,800.117
0.2885,800.518
0.289,800.92
0.2895,801.321
0.29,801.723
0.2905,802.119
0.291,802.516
0.2915,802.912
0.292,803.309
0.2925,803.705
0.293,804.097
0.2935,804.488
0.294,804.88
0.2945,805.271
0.295,805.663
0.2955,806.049
0.296,806.436
0.2965,806.823
0.297,807.209
0.2975,807.596
0.298,807.977
0.2985,808.359
0.299,808.741
0.2995,809.123
0.3,809.505
0.3005,809.882
0.301,810.259
0.3015,810.636
0.302,811.013
0.3025,811.39
0.303,811.762
0.3035,812.134
0.304,812.507
0.3045,812.879
0.305,813.251
0.3055,813.619
0.306,813.987
0.3065,814.355
0.307,814.722
0.3075,815.09
0.308,815.453
0.3085,815.816
0.309,816.179
0.3095,816.543
0.31,816.906
0.3105,817.264
0.311,817.623
0.3115,817.982
0.312,818.34
0.3125,818.699
0.313,819.053
0.3135,819.408
0.314,819.762
0.3145,820.116
0.315,820.47
0.3155,820.82
0.316,821.17
0.3165,821.52
0.317,821.87
0.3175,822.22
0.318,822.565
0.3185,822.911
0.319,823.256
0.3195,823.602
0.32,823.948
0.3205,824.289
0.321,824.63
0.3215,824.971
0.322,825.313
0.3225,825.654
0.323,825.991
0.3235,826.328
0.324,826.666
0.3245,827.003
0.325,827.34
0.3255,827.673
0.326,828.006
0.3265,828.339
0.327,828.672
0.3275,829.005
0.328,829.334
0.3285,829.663
0.329,829.992
0.3295,830.32
0.33,830.649
0.3305,830.974
0.331,831.299
0.3315,831.624
0.332,831.949
0.3325,832.274
0.333,832.595
0.3335,832.916
0.334,833.237
0.3345,833.558
0.335,833.879
0.3355,834.196
0.336,834.513
0.3365,834.83
0.337,835.147
0.3375,835.464
0.338,835.777
0.3385,836.09
0.339,836.403
0.3395,836.717
0.34,837.03
0.3405,837.339
0.341,837.649
0.3415,837.958
0.342,838.267
0.3425,838.577
0.343,838.882
0.3435,839.188
0.344,839.494
0.3445,839.799
0.345,840.105
0.3455,840.407
0.346,840.709
0.3465,841.011
0.347,841.313
0.3475,841.615
0.348,841.913
0.3485,842.211
0.349,842.509
0.3495,842.808
0.35,843.106
0.3505,843.401
0.351,843.695
0.3515,843.99
0.352,844.285
0.3525,844.579
0.353,844.87
0.3535,845.161
0.354,845.453
0.3545,845.744
0.355,846.035
0.3555,846.322
0.356,846.61
0.3565,846.898
0.357,847.185
0.3575,847.473
0.358,847.757
0.3585,848.041
0.359,848.325
0.3595,848.609
0.36,848.894
0.3605,849.174
0.361,849.455
0.3615,849.736
0.362,850.016
0.3625,850.297
0.363,850.575
0.3635,850.852
0.364,851.129
0.3645,851.407
0.365,851.684
0.3655,851.958
0.366,852.232
0.3665,852.506
0.367,852.78
0.3675,853.054
0.368,853.325
0.3685,853.596
0.369,853.867
0.3695,854.137
0.37,854.408
0.3705,854.676
0.371,854.943
0.3715,855.211
0.372,855.478
0.3725,855.746
0.373,856.01
0.3735,856.274
0.374,856.539
0.3745,856.803
0.375,857.067
0.3755,857.328
0.376,857.59
0.3765,857.851
0.377,858.112
0.3775,858.373
0.378,858.631
0.3785,858.889
0.379,859.147
0.3795,859.405
0.38,859.663
0.3805,859.918
0.381,860.173
0.3815,860.428
0.382,860.683
0.3825,860.938
0.383,861.19
0.3835,861.442
0.384,861.694
0.3845,861.946
0.385,862.198
0.3855,862.447
0.386,862.696
0.3865,862.945
0.387,863.194
0.3875,863.443
0.388,863.689
0.3885,863.935
0.389,864.181
0.3895,864.427
0.39,864.673
0.3905,864.916
0.391,865.159
0.3915,865.402
0.392,865.645
0.3925,865.889
0.393,866.129
0.3935,866.369
0.394,866.609
0.3945,866.849
0.395,867.09
0.3955,867.327
0.396,867.564
0.3965,867.802
0.397,868.039
0.3975,868.277
0.398,868.511
0.3985,868.746
0.399,868.98
0.3995,869.215
0.4,869.449
0.4005,869.681
0.401,869.913
0.4015,870.145
0.402,870.377
0.4025,870.608
0.403,870.838
0.4035,871.067
0.404,871.296
0.4045,871.525
0.405,871.754
0.4055,871.98
0.406,872.207
0.4065,872.433
0.407,872.659
0.4075,872.886
0.408,873.109
0.4085,873.333
0.409,873.557
0.4095,873.781
0.41,874.004
0.4105,874.225
0.411,874.446
0.4115,874.668
0.412,874.889
0.4125,875.11
0.413,875.328
0.4135,875.547
0.414,875.765
0.4145,875.984
0.415,876.202
0.4155,876.418
0.416,876.634
0.4165,876.85
0.417,877.066
0.4175,877.282
0.418,877.495
0.4185,877.709
0.419,877.922
0.4195,878.135
0.42,878.349
0.4205,878.56
0.421,878.771
0.4215,878.981
0.422,879.192
0.4225,879.403
0.423,879.612
0.4235,879.82
0.424,880.029
0.4245,880.237
0.425,880.445
0.4255,880.651
0.426,880.857
0.4265,881.063
0.427,881.269
0.4275,881.475
0.428,881.679
0.4285,881.883
0.429,882.086
0.4295,882.29
0.43,882.493
0.4305,882.695
0.431,882.896
0.4315,883.097
0.432,883.298
0.4325,883.499
0.433,883.698
0.4335,883.897
0.434,884.096
0.4345,884.295
0.435,884.494
0.4355,884.69
0.436,884.887
0.4365,885.083
0.437,885.28
0.4375,885.477
0.438,885.671
0.4385,885.865
0.439,886.059
0.4395,886.254
0.44,886.448
0.4405,886.64
0.441,886.832
0.4415,887.024
0.442,887.216
0.4425,887.408
0.443,887.598
0.4435,887.788
0.444,887.977
0.4445,888.167
0.445,888.357
0.4455,888.544
0.446,888.732
0.4465,888.92
0.447,889.107
0.4475,889.295
0.448,889.48
0.4485,889.666
0.449,889.851
0.4495,890.036
0.45,890.222
0.4505,890.405
0.451,890.588
0.4515,890.772
0.452,890.955
0.4525,891.138
0.453,891.319
0.4535,891.5
0.454,891.682
0.4545,891.863
0.455,892.044
0.4555,892.223
0.456,892.402
0.4565,892.581
0.457,892.76
0.4575,892.939
0.458,893.116
0.4585,893.293
0.459,893.47
0.4595,893.647
0.46,893.824
0.4605,893.999
0.461,894.174
0.4615,894.349
0.462,894.524
0.4625,894.698
0.463,894.871
0.4635,895.044
0.464,895.217
0.4645,895.39
0.465,895.563
0.4655,895.734
0.466,895.905
0.4665,896.076
0.467,896.247
0.4675,896.418
0.468,896.586
0.4685,896.755
0.469,896.924
0.4695,897.093
0.47,897.262
0.4705,897.429
0.471,897.596
0.4715,897.763
0.472,897.93
0.4725,898.097
0.473,898.262
0.4735,898.427
0.474,898.592
0.4745,898.758
0.475,898.923
0.4755,899.086
0.476,899.249
0.4765,899.412
0.477,899.575
0.4775,899.738
0.478,899.9
0.4785,900.061
0.479,900.222
0.4795,900.384
0.48,900.545
0.4805,900.704
0.481,900.864
0.4815,901.023
0.482,901.183
0.4825,901.342
0.483,901.5
0.4835,901.657
0.484,901.815
0.4845,901.973
0.485,902.13
0.4855,902.286
0.486,902.442
0.4865,902.598
0.487,902.753
0.4875,902.909
0.488,903.063
0.4885,903.217
0.489,903.371
0.4895,903.525
0.49,903.679
0.4905,903.831
0.491,903.983
0.4915,904.135
0.492,904.287
0.4925,904.44
0.493,904.589
0.4935,904.738
0.494,904.888
0.4945,905.037
0.495,905.186
0.4955,905.325
0.496,905.465
0.4965,905.604
0.497,905.743
0.4975,905.882
0.498,905.948
0.4985,906.013
0.499,906.078
0.4995,906.144
0.5,906.209
