z,XCH4,XCO,XCO2,XH2,XH2O,XO2,Tboth,Tgas,Tsolid
-0.04324325,0.4993908,0,0.5006092,0,0,0,920.2187,920.2187,0
-0.04254255,0.4993908,0,0.5006092,0,0,0,920.1449,920.1449,0
-0.04184185,0.4993908,0,0.5006092,0,0,0,919.8534,919.8534,0
-0.04114115,0.4993908,0,0.5006092,0,0,0,919.5903,919.5903,0
-0.04044045,0.4993908,0,0.5006092,0,0,0,919.5711,919.5711,0
-0.03973975,0.4993908,0,0.5006092,0,0,0,919.4305,919.4305,0
-0.03903905,0.4993908,0,0.5006092,0,0,0,919.1578,919.1578,0
-0.03833835,0.4993908,0,0.5006092,0,0,0,919.1243,919.1243,0
-0.03763765,0.4993908,0,0.5006092,0,0,0,918.9413,918.9413,0
-0.03693695,0.4993908,0,0.5006092,0,0,0,918.8018,918.8018,0
-0.03623625,0.4993908,0,0.5006092,0,0,0,918.7757,918.7757,0
-0.03553554,0.4993908,0,0.5006092,0,0,0,918.6425,918.6425,0
-0.03483484,0.4993908,0,0.5006092,0,0,0,918.5199,918.5199,0
-0.03413414,0.4993908,0,0.5006092,0,0,0,918.6042,918.6042,0
-0.03343344,0.4993908,0,0.5006092,0,0,0,918.4902,918.4902,0
-0.03273274,0.4993908,0,0.5006092,0,0,0,918.3287,918.3287,0
-0.03203204,0.4993908,0,0.5006092,0,0,0,918.3147,918.3147,0
-0.03133134,0.4993908,0,0.5006092,0,0,0,918.2362,918.2362,0
-0.03063064,0.4993908,0,0.5006092,0,0,0,918.1053,918.1053,0
-0.02992994,0.4993908,0,0.5006092,0,0,0,918.1251,918.1251,0
-0.02922924,0.4993908,0,0.5006092,0,0,0,918.085,918.085,0
-0.02852854,0.4993908,0,0.5006092,0,0,0,917.963,917.963,0
-0.02782784,0.4993908,0,0.5006092,0,0,0,917.9777,917.9777,0
-0.02712714,0.4993908,0,0.5006092,0,0,0,917.9322,917.9322,0
