Z,Temperature
-0.2,924.9493848
-0.1991991992,924.8668604
-0.1983983984,924.7798438
-0.1975975976,924.7041525
-0.1967967968,924.6098965
-0.195995996,924.5009131
-0.1951951952,924.4595968
-0.1943943944,924.519369
-0.1935935936,924.4521105
-0.1927927928,924.4042475
-0.191991992,924.3352376
-0.1911911912,924.2473575
-0.1903903904,924.145045
-0.1895895896,924.0312224
-0.1887887888,923.9373287
-0.187987988,923.8935974
-0.1871871872,923.8285488
-0.1863863864,923.7289725
-0.1855855856,923.6869501
-0.1847847848,923.6058096
-0.183983984,923.5065111
-0.1831831832,923.4579324
-0.1823823824,923.4090197
-0.1815815816,923.2675965
-0.1807807808,923.1975256
-0.17997998,923.1834748
-0.1791791792,923.1302763
-0.1783783784,923.0965423
-0.1775775776,923.0649909
-0.1767767768,923.0463933
-0.175975976,923.0172565
-0.1751751752,922.9708471
-0.1743743744,922.9388539
-0.1735735736,922.9445215
-0.1727727728,922.9576432
-0.171971972,922.9418299
-0.1711711712,922.9109831
-0.1703703704,922.902467
-0.1695695696,922.8433464
-0.1687687688,922.7455778
-0.167967968,922.6782156
-0.1671671672,922.6161341
-0.1663663664,922.5732365
-0.1655655656,922.5457268
-0.1647647648,922.549068
-0.163963964,922.5359766
-0.1631631632,922.5127142
-0.1623623624,922.5094763
-0.1615615616,922.4651229
-0.1607607608,922.4545725
-0.15995996,922.4780324
-0.1591591592,922.357411
-0.1583583584,922.3960929
-0.1575575576,922.4674298
-0.1567567568,922.4398084
-0.155955956,922.4256191
-0.1551551552,922.4332164
-0.1543543544,922.4937216
-0.1535535536,922.4725751
-0.1527527528,922.4917941
-0.151951952,922.5564476
-0.1511511512,922.566058
-0.1503503504,922.5473795
-0.1495495495,922.4836937
-0.1487487487,922.435804
-0.1479479479,922.4022529
-0.1471471471,922.3773603
-0.1463463463,922.2658166
-0.1455455455,922.2296429
-0.1447447447,922.1902306
-0.1439439439,922.1033076
-0.1431431431,922.03412
-0.1423423423,921.886611
-0.1415415415,921.7786501
-0.1407407407,921.681675
-0.1399399399,921.6177348
-0.1391391391,921.4568646
